X,Y,category,data1,data2
9,7,a,0.3304111312397372,0.6542289265970821
10,7,a,0.36466385627842945,0.977713746567692
1,8,a,0.2859430210577718,0.493977774580458
2,8,a,0.4865593784058114,0.009460230146045134
3,8,a,0.6091657193847534,0.26600413546624835
4,8,a,0.12095508035132307,0.5155990526526912
5,8,a,0.1013045054473739,0.05955993295329387
6,8,a,0.4949860892559791,0.6915958368194183
7,8,a,0.03251311791011868,0.6981949655109223
8,8,a,0.8887214276222068,0.05133871788175781
9,8,a,0.04968898565123958,0.8957528775469761
10,8,a,0.15638847198415817,0.9771849462894885
1,9,a,0.9678240982399011,0.901303771266514
2,9,a,0.16251644141221333,0.722127738327918
3,9,a,0.6875688298491276,0.29574691124436614
4,9,a,0.43428570560316493,0.6629274072577735
5,9,a,0.7434074380829937,0.5941607159438453
6,9,a,0.2915551190121144,0.9023291912293825
7,9,a,0.6456775146763558,0.25835648266958655
8,9,a,0.8905741332041655,0.593542335989093
9,9,a,0.39189449474581917,0.9675326879984427
10,9,a,0.21066413424755615,0.5099922507050859
1,10,a,0.10723267004015569,0.3053673139967894
2,10,a,0.9341886269251364,0.8146121812750928
3,10,a,0.29448593792551514,0.38167574879167476
4,10,a,0.8872944242976297,0.8719143923648308
5,10,a,0.012096736709184541,0.5040228055200978
6,10,a,0.26634216134156385,0.35100608350331053
7,10,a,0.4858762080349691,0.0034973932741382274
8,10,a,0.27135422404853515,0.8768407709525269
9,10,a,0.25236585444042137,0.04554561250476463
10,10,a,0.9656269833042522,0.6268453512830889
1,1,b,0.2674330482715843,0.03810047719429577
2,1,b,0.5992407552660244,0.3145274317921334
3,1,b,0.19219227965820063,0.41331436253684883
4,1,b,0.6072910004472037,0.27445393810779994
5,1,b,0.9219584479428687,0.1113856562172123
6,1,b,0.449490631413745,0.35141661389437906
7,1,b,0.5811306546643178,0.5935764089786773
8,1,b,0.1948490023468078,0.993857336688253
9,1,b,0.20144095329862288,0.02994424133860496
10,1,b,0.39444787859156594,0.20307051061286796
1,2,b,0.8286044504480337,0.9466034027432875
2,2,b,0.5189377712092147,0.7416850493796221
3,2,b,0.3363756904858566,0.04925389502987876
4,2,b,0.9636573742614835,0.2791677699173736
5,2,b,0.12882742532528835,0.4867054757027539
6,2,b,0.17602389673406882,0.1693816241520022
7,2,b,0.36494535712000076,0.7141101576740583
8,2,b,0.9755110810532807,0.30590510078415356
9,2,b,0.1631033965183466,0.4872195854692807
10,2,b,0.7559394079417728,0.9859922255038995
1,3,b,0.3594211448017106,0.7914737993038843
2,3,b,0.341133192574263,0.06185843713728201
3,3,b,0.6364757571371763,0.5720841172210879
4,3,b,0.35396813868180277,0.49192298575806737
5,3,b,0.46434847351575936,0.6947679562747158
6,3,b,0.9402499305949975,0.9252840907795965
7,3,b,0.45070341980240314,0.5901482383946847
8,3,b,0.6128278671877869,0.8109527115510782
9,3,b,0.14205461859929158,0.8419815875987717
10,3,b,0.5462404502655233,0.6105411166734157
1,4,b,0.5162098529693471,0.6735183405859528
2,4,b,0.001105883233356364,0.24447484429786004
3,4,b,0.3211776368855934,0.4662133552086052
4,4,b,0.5058497208700221,0.6680089535379439
5,4,b,0.10870797769423768,0.6665921535732788
6,4,b,0.02078346438725831,0.8704700907367019
7,4,b,0.7201674867849552,0.9252404484517291
8,4,b,0.004529689326980724,0.03980825279325784
9,4,b,0.43867582364135826,0.673735554984394
10,4,b,0.055587043059045604,0.8777603504557183
1,5,b,0.8564479512780622,0.7394365743134594
2,5,b,0.771046056905304,0.9324811218667268
3,5,b,0.5985816780344443,0.20900543484840972
4,5,b,0.9674114390567828,0.3478249107577638
5,5,b,0.509806813308715,0.60560313093138
6,5,b,0.34063687055964964,0.8664623205327542
7,5,b,0.5371840967477084,0.6327167950439156
8,5,b,0.5394036212429214,0.3890293409275435
9,5,b,0.3635300364609634,0.23964665722142575
10,5,b,0.09562353907564791,0.6444023483111788
1,6,b,0.13426815139968384,0.5590659246142841
2,6,b,0.7144519958322945,0.46347564646716355
3,6,b,0.37471837114355133,0.044966532717850005
4,6,b,0.9982374488180045,0.40041774612181236
5,6,b,0.2543661562975895,0.2564361031994885
6,6,b,0.986808917736756,0.8054172384678223
7,6,b,0.11930157330615743,0.5595979393763464
8,6,b,0.0781542799460303,0.647045366105083
9,6,b,0.5908376765563735,0.7733240378235248
10,6,b,0.023820975037570302,0.8420755581612157
1,7,b,0.6819739329608371,0.9689794011370414
2,7,b,0.5856660755382848,0.25146327078166497
3,7,b,0.16754189178235102,0.011050160726380098
4,7,b,0.8617083745733397,0.8018686621439609
5,7,b,0.821515262175522,0.6444741580615424
6,7,b,0.10137707002992957,0.5191946089673881
7,7,b,0.5014619725629627,0.49761704428572573
8,7,b,0.939389479604331,0.41451932494061716
9,7,b,0.3304111312397372,0.3699828994339013
10,7,b,0.36466385627842945,0.4571119865564359
1,8,b,0.2859430210577718,0.4070814944415324
2,8,b,0.4865593784058114,0.5768623495733989
3,8,b,0.6091657193847534,0.43766321177822565
4,8,b,0.12095508035132307,0.5006139421674055
5,8,b,0.1013045054473739,0.77961812949445
6,8,b,0.4949860892559791,0.6365410345604503
7,8,b,0.03251311791011868,0.4029093478900644
8,8,b,0.8887214276222068,0.29607615850411706
9,8,b,0.04968898565123958,0.535823264511357
10,8,b,0.15638847198415817,0.03134819276586853
1,9,b,0.9678240982399011,0.8602899213605082
2,9,b,0.16251644141221333,0.10720312212654415
3,9,b,0.6875688298491276,0.840444304175603
4,9,b,0.43428570560316493,0.6438470448436652
5,9,b,0.7434074380829937,0.18679364024362355
6,9,b,0.2915551190121144,0.393254658065739
7,9,b,0.6456775146763558,0.3657618692426873
8,9,b,0.8905741332041655,0.6229018420811439
9,9,b,0.39189449474581917,0.5861432218503093
10,9,b,0.21066413424755615,0.13904677097488272
1,10,b,0.10723267004015569,0.280695403869644
2,10,b,0.9341886269251364,0.020601652771245704
3,10,b,0.29448593792551514,0.7992228143171703
4,10,b,0.8872944242976297,0.3486472236526319
5,10,b,0.012096736709184541,0.2460486493648405
6,10,b,0.26634216134156385,0.32912480750088835
7,10,b,0.4858762080349691,0.7536592126561169
8,10,b,0.27135422404853515,0.24238192652281798
9,10,b,0.25236585444042137,0.8491602732192647
10,10,b,0.9656269833042522,0.2997548692666073
1,1,c,0.2674330482715843,0.6922192292043107
2,1,c,0.5992407552660244,0.12113407534432519
3,1,c,0.19219227965820063,0.6155219666735612
4,1,c,0.6072910004472037,0.38058389137122306
5,1,c,0.9219584479428687,0.21604248510380197
6,1,c,0.449490631413745,0.8333218301393787
7,1,c,0.5811306546643178,0.09599281612967436
8,1,c,0.1948490023468078,0.9018271494856872
9,1,c,0.20144095329862288,0.07423082648933799
10,1,c,0.39444787859156594,0.7986793926306984
1,2,c,0.8286044504480337,0.37690933065222965
2,2,c,0.5189377712092147,0.42366294031241936
3,2,c,0.3363756904858566,0.37858006631796515
4,2,c,0.9636573742614835,0.43848174488293656
5,2,c,0.12882742532528835,0.1493399752048834
6,2,c,0.17602389673406882,0.752618249364576
7,2,c,0.36494535712000076,0.1480273094978628
8,2,c,0.9755110810532807,0.40784998563282604
9,2,c,0.1631033965183466,0.23765683411020644
10,2,c,0.7559394079417728,0.5405395515510595
1,3,c,0.3594211448017106,0.15831239588781298
2,3,c,0.341133192574263,0.6358092647108975
3,3,c,0.6364757571371763,0.24370403596945167
4,3,c,0.35396813868180277,0.6474809076176714
5,3,c,0.46434847351575936,0.41493867823515296
6,3,c,0.9402499305949975,0.5502599903567544
7,3,c,0.45070341980240314,0.903127509226595
8,3,c,0.6128278671877869,0.7547532568680719
9,3,c,0.14205461859929158,0.6672816369668609
10,3,c,0.5462404502655233,0.1255823190757328
1,4,c,0.5162098529693471,0.8308716539256874
2,4,c,0.001105883233356364,0.49978119343273075
3,4,c,0.3211776368855934,0.4480411436066907
4,4,c,0.5058497208700221,0.4817386160816788
5,4,c,0.10870797769423768,0.003826315186531315
6,4,c,0.02078346438725831,0.9120518744475833
7,4,c,0.7201674867849552,0.624381813170169
8,4,c,0.004529689326980724,0.007817865824104486
9,4,c,0.43867582364135826,0.6060622642656391
10,4,c,0.055587043059045604,0.43772059487639015
1,5,c,0.8564479512780622,0.2745346905797428
2,5,c,0.771046056905304,0.555436688478767
3,5,c,0.5985816780344443,0.6283487341284159
4,5,c,0.9674114390567828,0.28645469918940925
5,5,c,0.509806813308715,0.4667631419991475
6,5,c,0.34063687055964964,0.637580792244267
7,5,c,0.5371840967477084,0.5803491124397829
8,5,c,0.5394036212429214,0.3143500278519039
9,5,c,0.3635300364609634,0.530291132699185
10,5,c,0.09562353907564791,0.016598476264764628
1,6,c,0.13426815139968384,0.26569442179642644
2,6,c,0.7144519958322945,0.8642798840156325
3,6,c,0.37471837114355133,0.4847647690951299
4,6,c,0.9982374488180045,0.18547107292608267
5,6,c,0.2543661562975895,0.5460673347842011
6,6,c,0.986808917736756,0.9982361659027651
7,6,c,0.11930157330615743,0.2374778160764658
8,6,c,0.0781542799460303,0.4542383680348493
9,6,c,0.5908376765563735,0.568596985980713
10,6,c,0.023820975037570302,0.4978190082991769
1,7,c,0.6819739329608371,0.243719962139046
2,7,c,0.5856660755382848,0.9402621737881035
3,7,c,0.16754189178235102,0.46841555756355724
4,7,c,0.8617083745733397,0.174522322073685
5,7,c,0.821515262175522,0.37666994011341515
6,7,c,0.10137707002992957,0.9677356250882159
7,7,c,0.5014619725629627,0.3308499695921364
8,7,c,0.939389479604331,0.9146939769791517
9,7,c,0.3304111312397372,0.9564209850245091
10,7,c,0.36466385627842945,0.7403456317793985
1,8,c,0.2859430210577718,0.06825492327274119
2,8,c,0.4865593784058114,0.8018373860052167
3,8,c,0.6091657193847534,0.5762776116522265
4,8,c,0.12095508035132307,0.5021262704318672
5,8,c,0.1013045054473739,0.07282360754693451
6,8,c,0.4949860892559791,0.273721517720916
7,8,c,0.03251311791011868,0.21568613228176503
8,8,c,0.8887214276222068,0.2110748163585323
9,8,c,0.04968898565123958,0.07368010163286565
10,8,c,0.15638847198415817,0.26362643578723377
1,9,c,0.9678240982399011,0.599986762017347
2,9,c,0.16251644141221333,0.7839356839032625
3,9,c,0.6875688298491276,0.2731390834993438
4,9,c,0.43428570560316493,0.10236950422040247
5,9,c,0.7434074380829937,0.32938065443132736
6,9,c,0.2915551190121144,0.3259017445156741
7,9,c,0.6456775146763558,0.5632748111585396
8,9,c,0.8905741332041655,0.030549989841668457
9,9,c,0.39189449474581917,0.26404598828342574
10,9,c,0.21066413424755615,0.4871507842525602
1,10,c,0.10723267004015569,0.21700589085496313
2,10,c,0.9341886269251364,0.2905591959100249
3,10,c,0.29448593792551514,0.002258834813215871
4,10,c,0.8872944242976297,0.0008760844297022174
5,10,c,0.012096736709184541,0.44171646660998687
6,10,c,0.26634216134156385,0.43493545277193546
7,10,c,0.4858762080349691,0.5792050681796689
8,10,c,0.27135422404853515,0.6483806315012459
9,10,c,0.25236585444042137,0.6637090556747361
10,10,c,0.9656269833042522,0.5355338948290916
1,1,d,0.2674330482715843,0.6555118062795061
2,1,d,0.5992407552660244,0.23467171979103418
3,1,d,0.19219227965820063,0.886294364395564
4,1,d,0.6072910004472037,0.5566671831687466
5,1,d,0.9219584479428687,0.5823967629885116
6,1,d,0.449490631413745,0.4354889352559588
7,1,d,0.5811306546643178,0.3776226435444723
8,1,d,0.1948490023468078,0.6292152099434113
9,1,d,0.20144095329862288,0.7819807071088611
10,1,d,0.39444787859156594,0.009623020518194081
1,2,d,0.8286044504480337,0.5012599420687776
2,2,d,0.5189377712092147,0.04100955703739029
3,2,d,0.3363756904858566,0.13608395430627362
4,2,d,0.9636573742614835,0.6339316126914998
5,2,d,0.12882742532528835,0.0961146462273268
6,2,d,0.17602389673406882,0.07576290750690196
7,2,d,0.36494535712000076,0.5614394387206679
8,2,d,0.9755110810532807,0.7168217684851785
9,2,d,0.1631033965183466,0.7568176647233826
10,2,d,0.7559394079417728,0.49022769316293024
1,3,d,0.3594211448017106,0.8736297589017321
2,3,d,0.341133192574263,0.4234887360808003
3,3,d,0.6364757571371763,0.28302394220004157
4,3,d,0.35396813868180277,0.5636562003757384
5,3,d,0.46434847351575936,0.5240976591833589
6,3,d,0.9402499305949975,0.7894451240159753
7,3,d,0.45070341980240314,0.7491071382392743
8,3,d,0.6128278671877869,0.6155436633576971
9,3,d,0.14205461859929158,0.5391709235171698
10,3,d,0.5462404502655233,0.7114892826402328
1,4,d,0.5162098529693471,0.3553338610134844
2,4,d,0.001105883233356364,0.7129024140308311
3,4,d,0.3211776368855934,0.03748842434208777
4,4,d,0.5058497208700221,0.435085046960078
5,4,d,0.10870797769423768,0.38728266939653155
6,4,d,0.02078346438725831,0.8667964935282748
7,4,d,0.7201674867849552,0.5290465585631121
8,4,d,0.004529689326980724,0.4595491328667528
9,4,d,0.43867582364135826,0.7755412103372638
10,4,d,0.055587043059045604,0.05437783707976984
1,5,d,0.8564479512780622,0.4700317836175224
2,5,d,0.771046056905304,0.8981709918194852
3,5,d,0.5985816780344443,0.6727377594750866
4,5,d,0.9674114390567828,0.014233221100136917
5,5,d,0.509806813308715,0.3479870152899974
6,5,d,0.34063687055964964,0.21561624739931295
7,5,d,0.5371840967477084,0.8694454259721506
8,5,d,0.5394036212429214,0.4286494864482685
9,5,d,0.3635300364609634,0.1888608095790717
10,5,d,0.09562353907564791,0.8123952506089402
1,6,d,0.13426815139968384,0.25494718968563723
2,6,d,0.7144519958322945,0.9720889187812032
3,6,d,0.37471837114355133,0.10178829861828165
4,6,d,0.9982374488180045,0.3338860745002855
5,6,d,0.2543661562975895,0.25792707867536024
6,6,d,0.986808917736756,0.025170622016115196
7,6,d,0.11930157330615743,0.19997452110465863
8,6,d,0.0781542799460303,0.6479508276833096
9,6,d,0.5908376765563735,0.7532413063050175
10,6,d,0.023820975037570302,0.6573379169715955
1,7,d,0.6819739329608371,0.06992643571487145
2,7,d,0.5856660755382848,0.44736097789247053
3,7,d,0.16754189178235102,0.15473915860184373
4,7,d,0.8617083745733397,0.1873802833797763
5,7,d,0.821515262175522,0.7675419626650344
6,7,d,0.10137707002992957,0.2951654397462429
7,7,d,0.5014619725629627,0.5833128135989766
8,7,d,0.939389479604331,0.7784092639728033
9,7,d,0.3304111312397372,0.5723681836981979
10,7,d,0.36466385627842945,0.8955567962623058
1,8,d,0.2859430210577718,0.19129332465488735
2,8,d,0.4865593784058114,0.2739825350899847
3,8,d,0.6091657193847534,0.7666360433502812
4,8,d,0.12095508035132307,0.23724910433807
5,8,d,0.1013045054473739,0.923530650082688
6,8,d,0.4949860892559791,0.893038897581618
7,8,d,0.03251311791011868,0.9285958151760471
8,8,d,0.8887214276222068,0.729086024299228
9,8,d,0.04968898565123958,0.4169039906852181
10,8,d,0.15638847198415817,0.5008816063241945
1,9,d,0.9678240982399011,0.23824297709327746
2,9,d,0.16251644141221333,0.3035847407535116
3,9,d,0.6875688298491276,0.9032324086834222
4,9,d,0.43428570560316493,0.4619580915629862
5,9,d,0.7434074380829937,0.5923687532904229
6,9,d,0.2915551190121144,0.3243519990196132
7,9,d,0.6456775146763558,0.4474571668656907
8,9,d,0.8905741332041655,0.44033152147014476
9,9,d,0.39189449474581917,0.6789977125399508
10,9,d,0.21066413424755615,0.6163788367626187
1,10,d,0.10723267004015569,0.23766141680145725
2,10,d,0.9341886269251364,0.5146480667256983
3,10,d,0.29448593792551514,0.9452431592707647
4,10,d,0.8872944242976297,0.5062535650628658
5,10,d,0.012096736709184541,0.12570039959451462
6,10,d,0.26634216134156385,0.22538041447123058
7,10,d,0.4858762080349691,0.15955132547669548
8,10,d,0.27135422404853515,0.6505195448689816
9,10,d,0.25236585444042137,0.22822096236662537
10,10,d,0.9656269833042522,0.2703160044028112
1,1,e,0.2674330482715843,0.0447470491179951
2,1,e,0.5992407552660244,0.37777501996718565
3,1,e,0.19219227965820063,0.3850426707986838
4,1,e,0.6072910004472037,0.5473876856779005
5,1,e,0.9219584479428687,0.013331782782750268
6,1,e,0.449490631413745,0.568073544166243
7,1,e,0.5811306546643178,0.5264511635756303
8,1,e,0.1948490023468078,0.213937996627097
9,1,e,0.20144095329862288,0.19634664205969854
10,1,e,0.39444787859156594,0.5165367556812497
1,2,e,0.8286044504480337,0.42625383450606746
2,2,e,0.5189377712092147,0.7599155710130701
3,2,e,0.3363756904858566,0.9078374252075082
4,2,e,0.9636573742614835,0.2153049558245752
5,2,e,0.12882742532528835,0.32548496725382847
6,2,e,0.17602389673406882,0.8186851771805482
7,2,e,0.36494535712000076,0.6961693671060379
8,2,e,0.9755110810532807,0.6112655832355891
9,2,e,0.1631033965183466,0.22786380984283594
10,2,e,0.7559394079417728,0.038280437354611396
1,3,e,0.3594211448017106,0.2751681747163891
2,3,e,0.341133192574263,0.06526067708136807
3,3,e,0.6364757571371763,0.2540847785120812
4,3,e,0.35396813868180277,0.20918023837831834
5,3,e,0.46434847351575936,0.8569869218770735
6,3,e,0.9402499305949975,0.03420106119390709
7,3,e,0.45070341980240314,0.8679954034418836
8,3,e,0.6128278671877869,0.49578680305881684
9,3,e,0.14205461859929158,0.9907896040862445
10,3,e,0.5462404502655233,0.9443777757171593
1,4,e,0.5162098529693471,0.9458856763408297
2,4,e,0.001105883233356364,0.1073803804161163
3,4,e,0.3211776368855934,0.8042320011789799
4,4,e,0.5058497208700221,0.683504073629211
5,4,e,0.10870797769423768,0.13542728675901405
6,4,e,0.02078346438725831,0.9166016439739247
7,4,e,0.7201674867849552,0.33202150559568255
8,4,e,0.004529689326980724,0.8235305301822907
9,4,e,0.43867582364135826,0.5813747813524447
10,4,e,0.055587043059045604,0.365119713667188
1,5,e,0.8564479512780622,0.8157107735674762
2,5,e,0.771046056905304,0.52001782206762
3,5,e,0.5985816780344443,0.3582922332113224
4,5,e,0.9674114390567828,0.179187288639017
5,5,e,0.509806813308715,0.1459985896816861
6,5,e,0.34063687055964964,0.15803573205974497
7,5,e,0.5371840967477084,0.2385888151574922
8,5,e,0.5394036212429214,0.21289887228858417
9,5,e,0.3635300364609634,0.09933328017156784
10,5,e,0.09562353907564791,0.3318851458109915
1,6,e,0.13426815139968384,0.9533543365636596
2,6,e,0.7144519958322945,0.2804603222569618
3,6,e,0.37471837114355133,0.4552264269230978
4,6,e,0.9982374488180045,0.6968468461284345
5,6,e,0.2543661562975895,0.07781143741356134
6,6,e,0.986808917736756,0.04421912856281063
7,6,e,0.11930157330615743,0.7049688755820412
8,6,e,0.0781542799460303,0.5433271361364093
9,6,e,0.5908376765563735,0.6076350295235969
10,6,e,0.023820975037570302,0.49804970895718403
1,7,e,0.6819739329608371,0.9992546993983675
2,7,e,0.5856660755382848,0.9998771181648586
3,7,e,0.16754189178235102,0.30651410207492447
4,7,e,0.8617083745733397,0.2313596503693749
5,7,e,0.821515262175522,0.5853594844838018
6,7,e,0.10137707002992957,0.7943541104765425
7,7,e,0.5014619725629627,0.02195022637435773
8,7,e,0.939389479604331,0.12002796631617663
9,7,e,0.3304111312397372,0.2291114299332193
10,7,e,0.36466385627842945,0.34175284531073624
1,8,e,0.2859430210577718,0.8857562380849069
2,8,e,0.4865593784058114,0.4913873425000369
3,8,e,0.6091657193847534,0.7262944418393434
4,8,e,0.12095508035132307,0.2159777181663578
5,8,e,0.1013045054473739,0.8454590526173326
6,8,e,0.4949860892559791,0.5604272332271798
7,8,e,0.03251311791011868,0.6467616916016797
8,8,e,0.8887214276222068,0.548503102537273
9,8,e,0.04968898565123958,0.7531465924073316
10,8,e,0.15638847198415817,0.3754746220503503
1,9,e,0.9678240982399011,0.5301772693240249
2,9,e,0.16251644141221333,0.9721585428363877
3,9,e,0.6875688298491276,0.9339458919618085
4,9,e,0.43428570560316493,0.6269856164342261
5,9,e,0.7434074380829937,0.08177636132001864
6,9,e,0.2915551190121144,0.12413676881215518
7,9,e,0.6456775146763558,0.39573410043284696
8,9,e,0.8905741332041655,0.22131697762151414
9,9,e,0.39189449474581917,0.5999723890048279
10,9,e,0.21066413424755615,0.4885163416300019
1,10,e,0.10723267004015569,0.04482821791295133
2,10,e,0.9341886269251364,0.35908321977189706
3,10,e,0.29448593792551514,0.6116615980297608
4,10,e,0.8872944242976297,0.5155329801670611
5,10,e,0.012096736709184541,0.3081199514677738
6,10,e,0.26634216134156385,0.5254680680016462
7,10,e,0.4858762080349691,0.948402919978193
8,10,e,0.27135422404853515,0.6491204080300249
9,10,e,0.25236585444042137,0.10038470855400239
10,10,e,0.9656269833042522,0.7090154219718205
1,1,f,0.2674330482715843,0.08790948224331008
2,1,f,0.5992407552660244,0.20172021005436358
3,1,f,0.19219227965820063,0.8783298595826592
4,1,f,0.6072910004472037,0.3693888726071658
5,1,f,0.9219584479428687,0.06639582125354271
6,1,f,0.449490631413745,0.2149617591808125
7,1,f,0.5811306546643178,0.4707683369219252
8,1,f,0.1948490023468078,0.4172456916063807
9,1,f,0.20144095329862288,0.41932211043143464
10,1,f,0.39444787859156594,0.6194756057156213
1,2,f,0.8286044504480337,0.25031708408160513
2,2,f,0.5189377712092147,0.288097484992356
3,2,f,0.3363756904858566,0.1506864836265973
4,2,f,0.9636573742614835,0.9294589125856517
5,2,f,0.12882742532528835,0.48270489233751634
6,2,f,0.17602389673406882,0.6063876732213223
7,2,f,0.36494535712000076,0.18237386650886078
8,2,f,0.9755110810532807,0.02341688062567593
9,2,f,0.1631033965183466,0.1963096632762834
10,2,f,0.7559394079417728,0.36894368723183435
1,3,f,0.3594211448017106,0.8144988968311175
2,3,f,0.341133192574263,0.14488037095677875
3,3,f,0.6364757571371763,0.39613512804423234
4,3,f,0.35396813868180277,0.4506979124573878
5,3,f,0.46434847351575936,0.825846280951751
6,3,f,0.9402499305949975,0.43134382390483306
7,3,f,0.45070341980240314,0.023839150144531196
8,3,f,0.6128278671877869,0.8927847223502219
9,3,f,0.14205461859929158,0.147102309150293
10,3,f,0.5462404502655233,0.5878151883233207
1,4,f,0.5162098529693471,0.5665860652983117
2,4,f,0.001105883233356364,0.6399243868610405
3,4,f,0.3211776368855934,0.9950745443085611
4,4,f,0.5058497208700221,0.306592743988478
5,4,f,0.10870797769423768,0.852740501352493
6,4,f,0.02078346438725831,0.3068668717141183
7,4,f,0.7201674867849552,0.36865618165757885
8,4,f,0.004529689326980724,0.9303958763355683
9,4,f,0.43867582364135826,0.9948198984573665
10,4,f,0.055587043059045604,0.7651966879232607
1,5,f,0.8564479512780622,0.2859513517576221
2,5,f,0.771046056905304,0.1603560457990365
3,5,f,0.5985816780344443,0.43560127442611196
4,5,f,0.9674114390567828,0.3310054627467649
5,5,f,0.509806813308715,0.7669130159383862
6,5,f,0.34063687055964964,0.7728435854712995
7,5,f,0.5371840967477084,0.6724824473763099
8,5,f,0.5394036212429214,0.03789944082495511
9,5,f,0.3635300364609634,0.32290648873222405
10,5,f,0.09562353907564791,0.44796850665426524
1,6,f,0.13426815139968384,0.8682391574076627
2,6,f,0.7144519958322945,0.4673722701766406
3,6,f,0.37471837114355133,0.8241139724687693
4,6,f,0.9982374488180045,0.6378196365363057
5,6,f,0.2543661562975895,0.29797326804938296
6,6,f,0.986808917736756,0.016638392208691566
7,6,f,0.11930157330615743,0.6309656829425084
8,6,f,0.0781542799460303,0.1074122784211371
9,6,f,0.5908376765563735,0.312098519665873
10,6,f,0.023820975037570302,0.9930508380268604
1,7,f,0.6819739329608371,0.11022679263214574
2,7,f,0.5856660755382848,0.11519535423339644
3,7,f,0.16754189178235102,0.03633742351574509
4,7,f,0.8617083745733397,0.24451983423174584
5,7,f,0.821515262175522,0.42080037743995957
6,7,f,0.10137707002992957,0.4836600001659135
7,7,f,0.5014619725629627,0.5187006048069668
8,7,f,0.939389479604331,0.10992208174537266
9,7,f,0.3304111312397372,0.5771599612145848
10,7,f,0.36466385627842945,0.011490773876084215
1,8,f,0.2859430210577718,0.11500206391191647
2,8,f,0.4865593784058114,0.2868596613469657
3,8,f,0.6091657193847534,0.9602948885041543
4,8,f,0.12095508035132307,0.5249742428887046
5,8,f,0.1013045054473739,0.11879849498487327
6,8,f,0.4949860892559791,0.8546946990869941
7,8,f,0.03251311791011868,0.8596368289162356
8,8,f,0.8887214276222068,0.006179130690381118
9,8,f,0.04968898565123958,0.8116980655804631
10,8,f,0.15638847198415817,0.9980045078654328
1,9,f,0.9678240982399011,0.999650473419535
2,9,f,0.16251644141221333,0.4157796528909319
3,9,f,0.6875688298491276,0.24317758434278014
4,9,f,0.43428570560316493,0.7148067471897415
5,9,f,0.7434074380829937,0.8978638672132996
6,9,f,0.2915551190121144,0.8976180931420958
